CODICE_VOLANTINO,ART_COD,FORECAST
23NA,OMNA53EE,832.1599449896507
23NB,OMNS23ULTRA256,142.51339050823947
23MC,OMNS23ULTRA256,0.0
23NA,OOPA38G,287.27834042983966
23NC,OOPA38G,401.8461992693723
23MC,OOPA38G,200.27841279565098
23MA,OOPA785G8128,469.6828017080992
23NA,OOPA785G8128,507.0527481547907
23NC,OOPA785G8128,588.5922049925516
23MA,OOPA785G8128B,129.91745315183925
23NA,OOPA785G8128B,169.3914315599999
23NC,OOPA785G8128B,264.8325303337608
23NC,OOPA96,487.4954780663278
23NC,OOPA96B,210.5483341897493
23MB,OOPA985G,411.0822980191315
23MD,OOPA985G,463.0709954407489
23NB,OOPA985G,692.1925479372499
23MA,OOPA985G,289.45600720045803
23NC,OOPA985G,572.8355461718029
23MB,OOPA985GB,170.65623659651618
23MD,OOPA985GB,182.6909870295877
23NB,OOPA985GB,362.022740879567
23MA,OOPA985GB,61.83044392055626
23NC,OOPA985GB,283.3567517197964
23NC,OOPFINDX5LITE,294.29063137590254
23NC,OOPFINDX5LITEB,190.10451573331804
23MD,OOPRENO10B,245.1477460138784
23NA,OOPRENO10B,227.63309945869142
23NC,OOPRENO10B,310.6105100635495
23NC,OOPRENO10PROS,48.05221444852833
23MD,OOPRENO10S,207.4542771690026
23NA,OOPRENO10S,163.92828145366275
23NC,OOPRENO10S,220.7261970247777
23NC,OPLNORDCE3LIT5G8128,277.9303832718294
23NC,OPLNORDCE3LIT5G8128L,376.0228935505372
23MB,RME115G8256,249.6222300349526
23MD,RME115G8256,346.12117814550936
23NC,RME115G8256,449.6550474712681
23MD,RME11PRO8256,137.1925612134945
23NC,RME11PRO8256,373.0817266444189
23NB,RME11PROPLUS12512W,198.44506862332042
23NC,RME11PROPLUS12512W,116.4087421170837
23MA,RMEC514128,523.5198646128581
23NA,RMEC514128,692.1613627193613
23NC,RMEC514128,850.4003688527062
23MC,RMEC514128,638.7608419180171
23MA,RMEC514128W,154.94350443895274
23NA,RMEC514128W,273.14400147181857
23NC,RMEC514128W,371.7887568069417
23MC,RMEC514128W,235.47706154654395
23MB,RMEC536128,956.3840959246126
23MD,RMEC536128,942.4554985043482
23NB,RMEC536128,1039.7092392992417
23NC,RMEC536128,954.0955724843606
23MB,RMEC536128G,295.08197686419936
23MD,RMEC536128G,391.0915933251957
23NB,RMEC536128G,564.3779821572256
23NC,RMEC536128G,462.7863154764626
23NA,RMEC55,773.9839264504982
23MC,RMEC55,622.1128638837248
23NA,RMEC55128,597.5444729306851
23MC,RMEC55128,444.883644930711
23NA,RMEC55W,293.3211057288581
23MC,RMEC55W,424.0040439452206
23MA,RMEME10,702.7356391811816
23MA,RMEME10W,78.89521970508844
23MD,SAMA04S,1874.445733000352
23NA,SAMA04S,2260.4780311813693
23MD,SAMA04SG,463.50648519265627
23NA,SAMA04SG,436.18601143792057
23MD,SAMA04SW,462.7552878637958
23NA,SAMA04SW,435.4747971844023
23MB,SAMA14128,2704.0114411479112
23MD,SAMA14128,2891.3637079445225
23NB,SAMA14128,2992.5048490592617
23MB,SAMA14128G,1785.0479637252324
23MD,SAMA14128G,1984.0337749922282
23NB,SAMA14128G,1864.9422047775752
23MB,SAMA14128S,1403.4161531791553
23MD,SAMA14128S,1866.6703655976453
23NB,SAMA14128S,1970.2056755448552
23MB,SAMA23,919.3220271643228
23NB,SAMA23,868.047971593841
23MC,SAMA23,754.1263296394526
23MB,SAMA23B,467.85610051317553
23NB,SAMA23B,659.3333484747641
23MC,SAMA23B,368.98788718205793
23MB,SAMA23W,451.1432153379559
23NB,SAMA23W,620.6366073325235
23MC,SAMA23W,360.836765104303
23NC,SAMA34128,907.3802847905658
23MC,SAMA34128,691.2147662432226
23NC,SAMA34128G,462.60932953783686
23MC,SAMA34128G,394.399890561922
23NC,SAMA34128S,528.1099323154444
23MC,SAMA34128S,384.85487493702664
23NC,SAMA34128V,615.6751261328111
23MC,SAMA34128V,492.97364591743843
23MA,SAMA53BL,385.3554757607662
23MA,SAMA53W,193.73858494506305
23MA,SAMA54128,672.7958083026854
23NA,SAMA54128,882.3232571538238
23NC,SAMA54128,1006.5146050631103
23MC,SAMA54128,722.1773303785653
23MA,SAMA54128G,238.9106971475963
23NA,SAMA54128G,392.19719272634785
23NC,SAMA54128G,473.4763829420396
23MC,SAMA54128G,296.5487586402697
